report,published_at,code,name,original_action,original_condition,original_invalidation,original_horizon,earliest_hypothetical_entry,end,holding_observations,hypothetical_nav_return_pct,same_window_510300_price_return_pct,hypothetical_early_redemption_fee_pct,hypothetical_if_redeemed_at_end_pct,interpretation,source
20260906,2026-09-06T09:32:34+08:00,007816,综合科技,科技主观察：等修复，不直接抄底,周一先看ETF 515860能否守住2.065、收复2.119，并强于沪深300。满足后再复核是否高开过热及新闻风险，考虑分批建仓；不是等固定天数。,再次跌破2.065，取消本轮修复判断；若随后建立新低或新高，重新画锚点，不沿用旧点位。,观察修复后的2至8周波段；不足7天的交易不优先用场外联接,2026-09-07,2026-09-10,3,-2.0953636599999936,-0.366853690116542,1.5,-3.5639332051000006,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,007301,半导体,高波动替代：准备修复机会，暂不直接买跌,先观察ETF 512480能否守住0.966并收复1.020；若只是开盘跳涨后回落，不追。收复后再看国内芯片股是否普遍跟上，再讨论分批买入。,跌破0.966说明这次修复假设失败；即使反弹，也不把一次上涨认作下降趋势结束。,修复波段，不把短线反弹当长期反转,2026-09-07,2026-09-10,3,-2.432417412800003,-0.366853690116542,1.5,-3.895931151608001,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,007467,红利低波,可考虑分批布局，优先于直接重仓科技,周一若没有明显跳涨、ETF仍守住20日均线，可考虑首批；随后回踩不破再补。当前MA20约1.1794，使用时更新当日均线。,跌破当日20日均线且相对大盘优势消失，停止加仓、复核减仓；红利不是本金保护。,优先按30天以上的分批布局考虑,2026-09-07,2026-09-10,3,1.5367250780000008,-0.366853690116542,1.5,0.013674201830005117,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,009180,主要消费,可列建仓候选，但不追周五大涨,ETF 512600周五上涨2.62%。更适合等回踩站稳、没有跌回周五低点0.571后分批考虑，不在周一高开时抢买。,若很快跌回0.571以下并持续弱于大盘，取消本轮消费修复布局。,至少覆盖7天费用门槛，优先看数周修复,2026-09-07,2026-09-10,3,-2.210991878800006,-0.366853690116542,1.5,-3.677827000618006,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,010210,计算机,次选，暂不优于综合科技,观察ETF 512720能否收回周五高点1.189并持续强于大盘；若综合科技先修复，不必再叠加计算机。,跌破周五低点1.153，停止把它当短线修复候选。,先观察，修复后再确定持有期,2026-09-07,2026-09-10,3,-2.9719928329999923,-0.366853690116542,1.5,-4.427412940504993,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,007818,通信设备,暂不新增，先看下降趋势能否停止,先观察ETF 515880是否守住0.634并收回0.664，再检查光模块等权重股是否同步修复。没有修复，不因跌深补仓。,继续创新低或反弹后迅速跌回，维持暂不新增；已持有则进入减仓复核。,先观察，不预设抄底期限,2026-09-07,2026-09-10,3,-0.6854659629999982,-0.366853690116542,1.5,-2.175183973554995,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,005999,金融地产,板块领先，但这只产品暂不排首选,保持金融地产为方向候选；先核A/C合并规模、最新公告与替代产品，再决定具体买哪只。不是因为没有行情而排除。,出现限制申赎、清盘安排，或板块相对优势消失时，取消该产品的优先地位。,先完成产品核验,2026-09-07,2026-09-10,3,1.0704433267999969,-0.366853690116542,1.5,-0.44561332310200097,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260906,2026-09-06T09:32:34+08:00,008280,煤炭,等回落结束，不因战争新闻追买,先看ETF 515220能否守住周五低点1.286并收复1.309，再看煤价、需求和分红信息。,跌破1.286且失守滚动20日均线，撤销本轮回踩机会判断。,观察回踩后的数周机会,2026-09-07,2026-09-10,3,3.896670277400016,-0.366853690116542,1.5,2.338220223239018,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260906.md
20260907,2026-09-07T22:38:46+08:00,007816,综合科技,可考虑小额分批，不一次买满,9月8日可把它作为科技首批候选。若开盘明显跳涨后回落，先不追；若回落仍站稳近期修复区域，再分批考虑。基金代码007816用于搜索产品，下面的ETF价格只是观察板块的参考。,对应ETF重新跌回约2.113的20日均线下方，暂停新增并复核；若进一步失守9月4日低点2.065，前一版修复判断失效。均线会更新，这些数值不是保证成交的止损价。,按数周波段考虑；不适合用场外基金做一两天快进快出,2026-09-08,2026-09-10,2,-1.2560400000000027,-0.15138408304498085,1.5,-2.737199400000001,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260907,2026-09-07T22:38:46+08:00,007818,通信设备,上调关注，但大涨后不抢买,不要求原地等很多天，也不把今天大涨当成明天仍涨。重点看ETF回落后收盘能否站稳0.664至0.666附近；例如9月8日收盘确认，最早9月9日再考虑提交场外申购，不能按ETF点位成交。,回到0.664下方且不能收复，暂停本轮追随；跌破旧低点0.634，则修复失效。突破和回踩区域是观察参考，不是已验证的买卖公式。,先看修复延续，按数周而非隔夜套利考虑,2026-09-08,2026-09-10,2,-0.03569799999999512,-0.15138408304498085,1.5,-1.5351625300000005,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
20260907,2026-09-07T22:38:46+08:00,007301,半导体,仍等修复，不与综合科技一起堆仓,先看ETF能否收复1.020，再评估持续性及与大盘的强弱；不要把反弹2.70%误认为之前跌幅都已收回。明确看好芯片且能承受更大波动时，才把它作为007816的替代。,跌破9月4日低点0.966，前一版修复假设失败；即便突破1.020，也仍要看是否快速跌回，不能把单一价位当收益保证。,修复波段，非已确认长期反转,2026-09-08,2026-09-10,2,-1.0671440000000088,-0.15138408304498085,1.5,-2.5511368400000123,观察/暂停项仅是反事实；条件未证明执行；不是实际成交收益；完整持有期未届满,https://lovenini12344-code.github.io/fund-decision-report/fund_selection_report_20260907.md
